R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0002234_001	SPE_K64103579	-0.082418114	inactive	N	SPE_K64103579	ZLN-024	-4.09	inactive
R4A_0002046_001	SPE_K72726508	0.127189589	inactive	N	SPE_K72726508	arcyriaflavin-a	-10.63	inactive
R4A_0002633_001	SPE_K04282412	-0.055421939	inactive	N	SPE_K04282412	CAPOBENIC ACID	-0.54	inactive
R4A_0005309_001	SPE_K39576764	-0.071902086	inactive	N	SPE_K39576764	mivobulin	21.82	inactive
R4A_0003247_001					SPE_K48304345	Pixantrone (dimaleate)	-1.58	inactive
R4A_0004779_001	SPE_A47598013	0.14294157	inactive	N	SPE_A47598013	citalopram	19.29	inactive
R4A_0003559_001					SPE_K25596805	JNJ-16259685	-4.4	inactive
R4A_0002135_001					SPE_A07947329	Buparvaquone	-0.77	inactive
R4A_0000457_001					SPE_K41051431	amdinocillin	2.81	inactive
R4A_0004462_001	SPE_A89175223	0.048205983	inactive	N	SPE_A89175223	BISOPROLOL FUMARATE	-3.87	inactive
R4A_0004435_001	SPE_K35430135	0.936469448	active	Y	SPE_K35430135	SR-59230A	39.08	inactive
R4A_0003008_001	SPE_K84971356	0.009809694	inactive	N	SPE_K84971356	etafenone	30.55	inactive
R4A_0003713_001	SPE_K33133047	0.024060765	inactive	N	SPE_K33133047	Dapiprazole Hydrochloride	-0.76	inactive
R4A_0005366_001	SPE_K34122555	-0.069327675	inactive	N	SPE_K34122555	DENATONIUM BENZOATE	3.81	inactive
R4A_0003106_001	SPE_K54316499	0.672383774	active	Y	SPE_K54316499	Tolterodine tartrate (Detrol LA)	37.08	inactive
R4A_0000399_001	SPE_K66956375	-0.065829141	inactive	N	SPE_K66956375	oleoylethanolamide	-1.1	inactive
R4A_0004324_001	SPE_K62387885	-0.047722545	inactive	N	SPE_K62387885	Basimglurant	0.4	inactive
R4A_0000552_001	SPE_K04704168	0.180367355	inactive	N	SPE_K04704168	CLEMIZOLE HYDROCHLORIDE	8.68	inactive
R4A_0001983_001	SPE_K27955832	-0.07614996	inactive	N	SPE_K27955832	Lomeguatrib	-7.63	inactive
R4A_0002621_001	SPE_A35837007	-0.04594549	inactive	N	SPE_A35837007	Bilobalide	-3.55	inactive
R4A_0000525_001	SPE_K82823076	-0.064764827	inactive	N	SPE_K82823076	Ro-15-4513	-4.86	inactive
R4A_0001968_001	SPE_K22503835	-0.158475652	inactive	N	SPE_K22503835	scriptaid	-2.63	inactive
R4A_0004628_001	SPE_K30933884	-0.025963435	inactive	N	SPE_K30933884	UNBS5162	-1.75	inactive
R4A_0000810_001					SPE_A59435073	"Peficitinib (ASP015K, JNJ-54781532)"	-1.38	inactive
R4A_0001626_001	SPE_K62012036	-0.078394651	inactive	N	SPE_K62012036	Acitretin	0.98	inactive
R4A_0000548_001	SPE_A48300215	-0.027498317	inactive	N	SPE_A48300215	AJMALINE	-3.79	inactive
R4A_0003754_001					SPE_A24191444	ifenprodil	8.99	inactive
R4A_0002877_001	SPE_K37814297	0.272968139	inactive	N	SPE_K37814297	Acepromazine maleate	42.62	inactive
R4A_0003736_001					SPE_K90177246	TETROQUINONE	-0.49	inactive
R4A_0004468_001	SPE_K31394475	-0.035074344	inactive	N	SPE_K31394475	CP-376395	0.31	inactive
R4A_0002875_001	SPE_K50050533	0.03861071	inactive	N	SPE_K50050533	DOCOSANOL	6.73	inactive
R4A_0000882_001	SPE_K32405725	-0.089561132	inactive	N	SPE_K32405725	Etomoxir	-2.5	inactive
R4A_0003772_001	SPE_K01868942	0.014598639	inactive	N	SPE_K01868942	RS-23597-190	0.68	inactive
R4A_0003034_001	SPE_K05528470	0.074310898	inactive	N	SPE_K05528470	L-745870	1.68	inactive
R4A_0003749_001	SPE_K35960502	-0.071549695	inactive	N	SPE_K35960502	NICLOSAMIDE	-4.22	inactive
R4A_0003575_001	SPE_K37312348	0.146946824	inactive	N	SPE_K37312348	kenpaullone	-5.18	inactive
R4A_0001909_001					SPE_K21612934	leteprinim	-5.54	inactive
